"Measure","Income bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value_type","Denominator"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2010/11-2012/13","Three-year average","Asian","ONS 5+2","K02000001","22","%","2454"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","30","%","228"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2010/11-2012/13","Three-year average","Black","ONS 5+2","K02000001","19","%","1355"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","17","%","213"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","19","%","1047"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2010/11-2012/13","Three-year average","Mixed","ONS 5+2","K02000001","20","%","491"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2010/11-2012/13","Three-year average","Other","ONS 5+2","K02000001","19","%","600"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","29","%","570"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","19","%","61420"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","19","%","58941"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2010/11-2012/13","Three-year average","White other","ONS 5+2","K02000001","18","%","2479"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","14","%","66320"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2010/11-2012/13","Three-year average","Asian other","ONS 5+2","K02000001","17","%","396"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2010/11-2012/13","Three-year average","Asian","ONS 5+2","K02000001","16","%","2454"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","16","%","228"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2010/11-2012/13","Three-year average","Black","ONS 5+2","K02000001","13","%","1355"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","14","%","213"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","15","%","1047"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2010/11-2012/13","Three-year average","Mixed","ONS 5+2","K02000001","16","%","491"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2010/11-2012/13","Three-year average","Other","ONS 5+2","K02000001","16","%","600"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","16","%","570"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","14","%","61420"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","14","%","58941"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2010/11-2012/13","Three-year average","White other","ONS 5+2","K02000001","15","%","2479"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","10","%","66320"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2010/11-2012/13","Three-year average","Asian other","ONS 5+2","K02000001","9","%","396"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2010/11-2012/13","Three-year average","Asian","ONS 5+2","K02000001","9","%","2454"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","10","%","228"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2010/11-2012/13","Three-year average","Black","ONS 5+2","K02000001","10","%","1355"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","8","%","213"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","10","%","1047"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2010/11-2012/13","Three-year average","Mixed","ONS 5+2","K02000001","10","%","491"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2010/11-2012/13","Three-year average","Other","ONS 5+2","K02000001","8","%","600"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","8","%","570"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","10","%","61420"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","10","%","58941"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2010/11-2012/13","Three-year average","White other","ONS 5+2","K02000001","10","%","2479"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","9","%","66320"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2010/11-2012/13","Three-year average","Asian other","ONS 5+2","K02000001","13","%","396"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2010/11-2012/13","Three-year average","Asian","ONS 5+2","K02000001","9","%","2454"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","10","%","228"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2010/11-2012/13","Three-year average","Black","ONS 5+2","K02000001","12","%","1355"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","16","%","213"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","6","%","1047"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2010/11-2012/13","Three-year average","Mixed","ONS 5+2","K02000001","9","%","491"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2010/11-2012/13","Three-year average","Other","ONS 5+2","K02000001","15","%","600"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","7","%","570"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","9","%","61420"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","9","%","58941"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200","2010/11-2012/13","Three-year average","White other","ONS 5+2","K02000001","9","%","2479"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","7","%","61106"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2011/12-2013/14","Three-year average","Asian other","ONS 5+2","K02000001","11","%","359"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2011/12-2013/14","Three-year average","Asian","ONS 5+2","K02000001","7","%","2226"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","6","%","212"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2011/12-2013/14","Three-year average","Black","ONS 5+2","K02000001","5","%","1322"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","9","%","187"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","8","%","954"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2011/12-2013/14","Three-year average","Mixed","ONS 5+2","K02000001","4","%","426"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2011/12-2013/14","Three-year average","Other","ONS 5+2","K02000001","6","%","524"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","3","%","514"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","7","%","56608"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","7","%","54352"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2011/12-2013/14","Three-year average","White other","ONS 5+2","K02000001","7","%","2256"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","5","%","61106"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2011/12-2013/14","Three-year average","Asian other","ONS 5+2","K02000001","7","%","359"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2011/12-2013/14","Three-year average","Asian","ONS 5+2","K02000001","6","%","2226"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","3","%","212"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2011/12-2013/14","Three-year average","Black","ONS 5+2","K02000001","3","%","1322"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","5","%","187"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","8","%","954"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2011/12-2013/14","Three-year average","Mixed","ONS 5+2","K02000001","5","%","426"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2011/12-2013/14","Three-year average","Other","ONS 5+2","K02000001","5","%","524"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","4","%","514"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","5","%","56608"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","5","%","54352"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2011/12-2013/14","Three-year average","White other","ONS 5+2","K02000001","4","%","2256"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","3","%","61106"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2011/12-2013/14","Three-year average","Asian other","ONS 5+2","K02000001","3","%","359"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2011/12-2013/14","Three-year average","Asian","ONS 5+2","K02000001","3","%","2226"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","2","%","212"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2011/12-2013/14","Three-year average","Black","ONS 5+2","K02000001","2","%","1322"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","3","%","187"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","4","%","954"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2011/12-2013/14","Three-year average","Mixed","ONS 5+2","K02000001","3","%","426"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2011/12-2013/14","Three-year average","Other","ONS 5+2","K02000001","2","%","524"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","3","%","514"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","3","%","56608"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","3","%","54352"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600","2011/12-2013/14","Three-year average","White other","ONS 5+2","K02000001","4","%","2256"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","2","%","61106"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2011/12-2013/14","Three-year average","Asian other","ONS 5+2","K02000001","2","%","359"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2011/12-2013/14","Three-year average","Asian","ONS 5+2","K02000001","2","%","2226"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","1","%","212"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2011/12-2013/14","Three-year average","Black","ONS 5+2","K02000001","1","%","1322"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","2","%","187"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","3","%","954"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2011/12-2013/14","Three-year average","Mixed","ONS 5+2","K02000001","1","%","426"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2011/12-2013/14","Three-year average","Other","ONS 5+2","K02000001","2","%","524"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","1","%","514"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","2","%","56608"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","2","%","54352"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800","2011/12-2013/14","Three-year average","White other","ONS 5+2","K02000001","3","%","2256"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","1","%","61106"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2011/12-2013/14","Three-year average","Asian other","ONS 5+2","K02000001","~","%","359"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2011/12-2013/14","Three-year average","Asian","ONS 5+2","K02000001","2","%","2226"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","-","%","212"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2011/12-2013/14","Three-year average","Black","ONS 5+2","K02000001","-","%","1322"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","1","%","187"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","3","%","954"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2011/12-2013/14","Three-year average","Mixed","ONS 5+2","K02000001","2","%","426"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2011/12-2013/14","Three-year average","Other","ONS 5+2","K02000001","1","%","524"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","-","%","514"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","1","%","56608"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","1","%","54352"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000","2011/12-2013/14","Three-year average","White other","ONS 5+2","K02000001","2","%","2256"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","4","%","61106"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2011/12-2013/14","Three-year average","Asian other","ONS 5+2","K02000001","6","%","359"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2011/12-2013/14","Three-year average","Asian","ONS 5+2","K02000001","6","%","2226"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","1","%","212"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2011/12-2013/14","Three-year average","Black","ONS 5+2","K02000001","2","%","1322"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","3","%","187"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","8","%","954"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2011/12-2013/14","Three-year average","Mixed","ONS 5+2","K02000001","4","%","426"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2011/12-2013/14","Three-year average","Other","ONS 5+2","K02000001","4","%","524"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","4","%","514"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","4","%","56608"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","4","%","54352"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more","2011/12-2013/14","Three-year average","White other","ONS 5+2","K02000001","7","%","2256"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","25","%","61106"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2011/12-2013/14","Three-year average","Asian other","ONS 5+2","K02000001","17","%","359"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2011/12-2013/14","Three-year average","Asian","ONS 5+2","K02000001","18","%","2226"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","25","%","212"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2011/12-2013/14","Three-year average","Black","ONS 5+2","K02000001","28","%","1322"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","18","%","187"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","15","%","954"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2011/12-2013/14","Three-year average","Mixed","ONS 5+2","K02000001","23","%","426"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2011/12-2013/14","Three-year average","Other","ONS 5+2","K02000001","21","%","524"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","21","%","514"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","25","%","56608"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","26","%","54352"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400","2011/12-2013/14","Three-year average","White other","ONS 5+2","K02000001","20","%","2256"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","20","%","61106"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2011/12-2013/14","Three-year average","Asian other","ONS 5+2","K02000001","18","%","359"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2011/12-2013/14","Three-year average","Asian","ONS 5+2","K02000001","22","%","2226"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","30","%","212"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2011/12-2013/14","Three-year average","Black","ONS 5+2","K02000001","21","%","1322"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","19","%","187"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","18","%","954"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2011/12-2013/14","Three-year average","Mixed","ONS 5+2","K02000001","22","%","426"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2011/12-2013/14","Three-year average","Other","ONS 5+2","K02000001","20","%","524"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","30","%","514"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","19","%","56608"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","19","%","54352"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600","2011/12-2013/14","Three-year average","White other","ONS 5+2","K02000001","19","%","2256"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","14","%","61106"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2011/12-2013/14","Three-year average","Asian other","ONS 5+2","K02000001","16","%","359"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2011/12-2013/14","Three-year average","Asian","ONS 5+2","K02000001","17","%","2226"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","17","%","212"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2011/12-2013/14","Three-year average","Black","ONS 5+2","K02000001","15","%","1322"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","17","%","187"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","16","%","954"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2011/12-2013/14","Three-year average","Mixed","ONS 5+2","K02000001","15","%","426"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2011/12-2013/14","Three-year average","Other","ONS 5+2","K02000001","14","%","524"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2011/12-2013/14","Three-year average","Pakistani","ONS 5+2","K02000001","19","%","514"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","14","%","56608"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","14","%","54352"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800","2011/12-2013/14","Three-year average","White other","ONS 5+2","K02000001","15","%","2256"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","10","%","61106"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2011/12-2013/14","Three-year average","Asian other","ONS 5+2","K02000001","11","%","359"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2011/12-2013/14","Three-year average","Asian","ONS 5+2","K02000001","10","%","2226"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2011/12-2013/14","Three-year average","Bangladeshi","ONS 5+2","K02000001","9","%","212"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2011/12-2013/14","Three-year average","Black","ONS 5+2","K02000001","9","%","1322"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","9","%","187"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000","2011/12-2013/14","Three-year average","Indian","ONS 5+2","K02000001","11","%","954"
